2015110900000146|00000100000361|20151109|184532|0|0|||||01|C|
2015110900000147|00000100000361|20151109|185441|0|0|||||01|C|
2015110900000148|00000100000361|20151109|185558|0|0|||||01|C|
2015110900000149|00000100000361|20151109|190151|0|0|||||01|C|
20151109095228|00000100000004|20151109|095228|0|0|||||51|D|
P20151109161556|00000100000360|20151109|161556|0|0|||||01|D|
P20151109162347|00000100000360|20151109|162347|0|0|||||01|D|
P20151109162720|00000100000360|20151109|162720|0|0|||||01|D|
P20151109185358|00000100000360|20151109|185358|0|0|||||01|D|
P20151109190431|00000100000360|20151109|190431|0|0|||||01|D|
P20151109200807||20151109|200807|0|0|||||51|D|
P20151109201835||20151109|201835|0|0|||||51|D|
