2015103000000017|00000100000009|20151030|103055|0|0|||||01|C|
2015103000000018|00000100000009|20151030|103117|0|0|||||01|C|
2015103000000021|00000100000010|20151030|152314|0|0|||||01|C|
2015103000000022|00000000000358|20151030|175818|0|0|ABCDVFRDVD|中国银行|不羁|001|01|C|
20151030101931|00000100000004|20151030|101931|0|0|||||51|D|
20151030113658|00000100000359|20151030|113658|0|0|||||51|D|
20151030141646|00000100000359|20151030|141646|0|0|||||51|D|
20151030142139|00000100000359|20151030|142139|0|0|||||51|D|
20151030142453|00000100000359|20151030|142453|0|0|||||51|D|
20151030152909|00000100000359|20151030|152909|0|0|||||51|D|
20151030153054|00000100000359|20151030|153054|0|0|||||51|D|
T015103000000002|00000100000009|20151030|154255|0|0|||||51|C|
T015103000000002|00000100000010|20151030|154255|0|0|||||51|D|
