20151112141055|00000100000004|20151112|141055|0|384|||||51|D|
20151112151643|00000100000004|20151112|151643|0|384|||||51|D|
20151112152150|00000100000004|20151112|152150|0|384|||||51|D|
20151112152714|00000100000359|20151112|152714|0|656|||||51|D|
20151112153129|00000100000359|20151112|153129|0|656|||||51|D|
20151112153400|00000100000359|20151112|153400|0|656|||||51|D|
20151112153708|00000100000359|20151112|153708|0|656|||||51|D|
P20151112100941||20151112|100941|0|0|||||51|D|
P20151112151658||20151112|151658|0|0|||||51|D|
P20151112151935|00000100000005|20151112|151935|0|0|||||51|D|
P20151112172255|00000100000005|20151112|172255|0|0|||||01|D|
P20151112172912|00000100000005|20151112|172912|0|0|||||01|D|
R015111200000026|null|20151112|104551|0|0|||||31|C|P20151112100941
SWT144731751977796775553||20151112|163839|0|0|||||51|D|
